CountActive,Description,Ateco,IdProvince
9,ESTRAZIONE DI MINERALI DA CAVE E MINIERE,B,4
23,FORNITURA DI ACQUA RETI FOGNARIE ATTIVITÀ DI GESTIONE DEI RIFIUTI E RISANAMENTO,E,4
88,FORNITURA DI ENERGIA ELETTRICA GAS VAPORE E ARIA CONDIZIONATA,D,4
73,ISTRUZIONE,P,4
436,NOLEGGIO AGENZIE DI VIAGGIO SERVIZI DI SUPPORTO ALLE IMPRESE,N,4
61,SANITA' E ASSISTENZA SOCIALE,Q,4
205,SERVIZI DI INFORMAZIONE E COMUNICAZIONE,J,4
204,TRASPORTO E MAGAZZINAGGIO,H,4
5492,AGRICOLTURA SILVICOLTURA E PESCA,A,5
17,ALTRE ATTIVITÀ,X,5
1500,ALTRE ATTIVITÀ DI SERVIZI,S,5
425,ATTIVITÀ ARTISTICHE SPORTIVE DI INTRATTENIMENTO E DIVERTIMENTO,R,5
1999,ATTIVITÀ DEI SERVIZI DI ALLOGGIO E DI RISTORAZIONE,I,5
735,ATTIVITÀ FINANZIARIE E ASSICURATIVE,K,5
1753,ATTIVITA' IMMOBILIARI,L,5
4254,ATTIVITÀ MANIFATTURIERE,C,5
999,ATTIVITÀ PROFESSIONALI SCIENTIFICHE E TECNICHE,M,5
6799,COMMERCIO ALL'INGROSSO E AL DETTAGLIO RIPARAZIONE DI AUTOVEICOLI E MOTOCICLI,G,5
4869,COSTRUZIONI,F,5
15,ESTRAZIONE DI MINERALI DA CAVE E MINIERE,B,5
50,FORNITURA DI ACQUA RETI FOGNARIE ATTIVITÀ DI GESTIONE DEI RIFIUTI E RISANAMENTO,E,5
102,FORNITURA DI ENERGIA ELETTRICA GAS VAPORE E ARIA CONDIZIONATA,D,5
127,ISTRUZIONE,P,5
886,NOLEGGIO AGENZIE DI VIAGGIO SERVIZI DI SUPPORTO ALLE IMPRESE,N,5
156,SANITA' E ASSISTENZA SOCIALE,Q,5
634,SERVIZI DI INFORMAZIONE E COMUNICAZIONE,J,5
540,TRASPORTO E MAGAZZINAGGIO,H,5
3410,AGRICOLTURA SILVICOLTURA E PESCA,A,6
11,ALTRE ATTIVITÀ,X,6
1049,ALTRE ATTIVITÀ DI SERVIZI,S,6
1,AMMINISTRAZIONE PUBBLICA E DIFESA ASSICURAZIONE SOCIALE OBBLIGATORIA,O,6
457,ATTIVITÀ ARTISTICHE SPORTIVE DI INTRATTENIMENTO E DIVERTIMENTO,R,6
1662,ATTIVITÀ DEI SERVIZI DI ALLOGGIO E DI RISTORAZIONE,I,6
